State,Year,Corrupt* or Fraud* or Bribe*,Politic*,CRI
Arizona,1978,10,29,0.344828
Arizona,1979,23,68,0.338235
Arizona,1980,49,157,0.312102
Arizona,1981,121,173,0.699422
Arizona,1982,38,142,0.267606
Arizona,1983,83,108,0.768519
Arizona,1984,44,207,0.21256
Arizona,1985,93,220,0.422727
Arizona,1986,45,240,0.1875
Arizona,1987,82,339,0.241888
Arizona,1988,246,528,0.465909
Arizona,1989,180,203,0.886699
Arizona,1990,180,366,0.491803
Arizona,1991,162,227,0.713656
Arizona,1992,170,249,0.682731
Arizona,1993,76,183,0.415301
Arizona,1994,9,24,0.375
Arizona,1995,23,103,0.223301
Arizona,1996,84,526,0.159696
Arizona,1997,153,221,0.692308
Arizona,1998,96,209,0.45933
Arizona,1999,125,673,0.185736
Arizona,2000,70,1729,0.040486
Arizona,2001,25,41,0.609756
Arizona,2002,125,283,0.441696
Arizona,2003,86,270,0.318519
Arizona,2004,69,497,0.138833
Arizona,2005,81,236,0.34322
Arizona,2006,173,491,0.352342
Arizona,2007,161,862,0.186775
Arizona,2008,281,1610,0.174534
Arizona,2009,111,242,0.458678
Arizona,2010,93,518,0.179537
Arizona,2011,93,620,0.15
Arizona,2012,70,508,0.137795
