""	"cycle"	"bonica_rid"	"recipient_name"	"share.ind"	"share.group"	"recipient_state"	"recipient_party"	"np_score"	"candidate_cfscore"	"state.party"	"total.raised"
"43229"	2006	"cand113607"	"PARRISH, HARRY J"	0.139260951331791	0.551810787081753	"VA"	200	0.484	0.300474463630405	"VA-200"	245747.28
"43230"	2002	"cand113608"	"PETERSEN, J CHAPMAN"	0.501331613409577	0.118614969229489	"VA"	100	-0.667	-0.87279345615387	"VA-100"	154425.45
"43231"	2004	"cand113608"	"PETERSEN, J CHAPMAN"	0.444968286346364	0.301814160733238	"VA"	100	-0.667	-0.87279345615387	"VA-100"	221975.37
"43232"	2002	"cand113609"	"POLLARD JR, ALBERT C"	0.63503857426427	0.274230087395587	"VA"	100	-0.447	-0.737547382324574	"VA-100"	131940.3
"43233"	2004	"cand113609"	"POLLARD JR, ALBERT C"	0.343964619301403	0.345398961943096	"VA"	100	-0.447	-0.737547382324574	"VA-100"	108063.44
"43234"	2010	"cand113609"	"POLLARD JR, ALBERT C"	0.385275009194108	0.285648629356998	"VA"	100	-0.447	-0.737547382324574	"VA-100"	225416.1
"43238"	2002	"cand113611"	"REESE, GARY"	0.123810421841028	0.391552643024878	"VA"	200	0.369	0.319653525207281	"VA-200"	78584.58
"43239"	2004	"cand113611"	"REESE, GARY A"	0.152836086170441	0.794058161983269	"VA"	200	0.369	0.319653525207281	"VA-200"	65266
"43242"	2002	"cand113615"	"ROLLISON III, J A (JACK)"	0.139520855509309	0.79172034049551	"VA"	200	0.674	0.353281039223347	"VA-200"	125511.2
"43248"	2002	"cand113619"	"STUMP, JACKIE"	0	0.732336753912031	"VA"	100	-0.235	0.217462280797855	"VA-100"	18843.79
"43249"	2004	"cand113619"	"STUMP, JACKIE T"	0.215700505004687	0.733496628262119	"VA"	100	-0.235	0.217462280797855	"VA-100"	82672.5
"43251"	2002	"cand113622"	"THOMAS, A VICTOR"	0.248192771084337	0.66144578313253	"VA"	100	-0.157	0.27678032105581	"VA-100"	20750
"43252"	2002	"cand113624"	"VAN YAHRES, MITCHELL"	0.527708744139795	0.4091079261814	"VA"	100	-1.391	-0.958667703373565	"VA-100"	50804.54
