""	"ind.contributions"	"high.median.prof"	"year"	"group.contributions"
"661"	5100	1	1994	17400
"662"	1200	1	1996	23005.98
"663"	13279	1	1998	25400
"664"	20427.04	1	2000	54673
"665"	20257.7	1	2002	68134
"666"	93903.92	1	2004	126830.67
"667"	18264	1	2006	73925
"668"	1655	1	1992	22150
"669"	5795	1	1994	24374.07
"670"	5160	1	1996	28600
"671"	12696.9	1	1998	39275
"672"	13033.21	1	2000	30692
"673"	22926.49	1	2002	29490
"674"	48648.12	1	2004	28440
"675"	9856	1	1996	27502.34
"676"	7677.5	1	1998	16075
"677"	25226	1	2000	30630
"678"	23880.17	1	2002	56145
"679"	55976.57	1	2004	98535
"680"	2100	0	1990	850
"681"	150	0	1996	2425
"682"	2823.37	0	1998	6200
"683"	200	0	2000	12301
"684"	0	0	2002	6350
"685"	1050	0	2004	48701
"686"	0	0	2006	41150
"687"	3765	0	1996	6479
"688"	9478.91	0	1998	8830
"689"	4429.2	0	2000	16819.36
"690"	1275.75	0	2002	9151
"691"	801.94	0	2004	9751
"692"	8845	0	2006	23789.63
"693"	2225	0	2008	15572.35
"694"	618	0	1996	3151
"695"	782.64	0	1998	7284.28
"696"	550	0	2000	9818.5
"697"	1500	0	2002	12075
"698"	200	0	2004	18475
"699"	350	0	2006	30951
"700"	1995	0	2008	44840.6
"701"	70937.82	0	2010	31235
"702"	50	0	1996	2855
"703"	3604	0	1998	4375
"704"	59.61	0	2000	5801
"705"	622.46	0	2002	11711.58
"706"	300	0	2004	3000
"707"	1050	0	2006	12301
"708"	0	0	2008	2000
"709"	1264	0	1996	7546
"710"	13381.7	0	1998	11954.04
"711"	2678.5	0	2000	23360
"712"	955.66	0	2002	31052
"713"	11275	0	2004	67351
"714"	25270.41	0	2006	282073.1
"715"	4600	0	2008	170027.97
"716"	200	0	1996	7600
"717"	200	0	1996	7225
"718"	5539.59	0	1998	9550
"719"	100	0	2000	11294.93
"720"	200	0	2002	11105
"721"	600	0	2004	11400
"722"	3620	0	2006	18960.14
"723"	350	0	2008	17019
"724"	13079.37	0	2010	18349.02
"725"	260	0	1996	2650
"726"	1508.43	0	1998	4750
"727"	400	0	2000	4101
"728"	100	0	2002	4550
"729"	200	0	2004	8551
"730"	100	0	1990	1483
"731"	600	0	1996	5680
"732"	831.9	0	1998	9465
"733"	400	0	2000	9254
"734"	100	0	2002	11891
"735"	0	0	2004	8750
"736"	0	0	2006	14856.6
"737"	100	0	2008	14011.22
"738"	21076.19	0	2010	10052
"739"	19645.04	0	2012	15540.26
"740"	50	0	1996	3500
"741"	3519.47	0	1998	8000
"742"	1255	0	1990	5061
"743"	200	0	1996	8335
"744"	3700	0	2004	6251
"745"	0	0	2006	14727.45
"746"	830	0	2008	14201
"747"	300	0	1996	4525
"748"	1865	0	1996	2865
"749"	3391.04	0	1998	7768
"750"	2725	0	2000	7273
"751"	4890	0	2002	6601
"752"	1230	0	2004	9078.32
"753"	400	0	1990	3400
"754"	7850	1	1998	9600
"755"	18007.32	1	2000	10970
"756"	12105	1	2002	14850
"757"	16450	1	2004	21271.01
"758"	19991.72	1	2006	18650
"759"	25749.71	1	2008	15900
"760"	22845	1	2010	7500
"761"	3000	1	1998	9725
"762"	3393.02	1	2000	20209.25
"763"	1416.25	1	2002	8550
"764"	3799.36	1	2004	14675
"765"	960	1	1998	3245
"766"	2551.48	1	2000	6379.07
"767"	2225	1	2002	1885
"768"	4650	1	2004	8000
"769"	3150	1	1998	5826.2
"770"	3900	1	2000	17572.51
"771"	3100	1	2002	13677.75
"772"	4950	1	2004	9600
"773"	5100	1	1998	18380
"774"	2100	1	2002	19486.89
"775"	2950	1	2004	24465
"776"	22886.82	1	2006	34050
"777"	18707.55	1	2008	31640
"778"	18700	1	2010	31600
"779"	9540	1	1998	21435
"780"	10840.08	1	2000	19655.16
"781"	9808.06	1	2002	19384.5
"782"	11485	1	2004	22334.55
"783"	14000	1	2006	20208
"784"	13317.35	1	2008	25201.98
"785"	15375	1	2010	20850
"786"	20833	1	2012	13500
"787"	3250	1	1998	10000
